length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
11, 1, 0, 7.687, 19.854, 1.648, 28.778, 2.056, 25.579, 23.040, 0.000, 22.240, 0.000, 0.106, 19.680, 0.000, 
11, 1, 0, 7.671, 19.898, 1.714, 28.877, 1.910, 25.088, 23.200, 0.000, 22.400, 0.000, 0.133, 18.560, 0.000, 
11, 1, 0, 7.374, 19.621, 1.640, 28.614, 1.743, 24.764, 23.040, 0.000, 22.560, 0.000, 0.117, 18.560, 0.000, 
11, 1, 0, 7.464, 18.575, 1.709, 28.817, 1.427, 24.560, 22.719, 0.000, 22.080, 0.000, 0.131, 19.200, 0.000, 
11, 1, 0, 7.515, 20.397, 1.720, 28.776, 2.175, 25.040, 22.720, 0.000, 22.240, 0.000, 0.179, 19.360, 0.000, 
11, 1, 0, 7.594, 19.942, 1.623, 28.733, 1.845, 25.324, 22.719, 0.000, 22.240, 0.000, 0.203, 19.680, 0.000, 
11, 1, 0, 7.701, 19.125, 1.788, 29.078, 1.868, 24.914, 23.040, 0.000, 22.560, 0.000, 0.196, 19.040, 0.000, 
11, 1, 0, 7.629, 19.322, 1.700, 28.657, 1.805, 24.842, 23.039, 0.000, 22.240, 0.000, 0.138, 19.200, 0.000, 
11, 1, 0, 7.378, 18.653, 1.691, 28.863, 1.781, 25.061, 22.720, 0.000, 22.240, 0.000, 0.107, 19.680, 0.000, 
12, 1, 0, 7.959, 25.028, 1.718, 30.312, 1.705, 26.048, 24.319, 0.000, 23.520, 0.000, 0.120, 19.360, 0.000, 
12, 1, 0, 7.874, 23.347, 1.833, 30.650, 1.896, 26.243, 24.640, 0.000, 23.520, 0.000, 0.126, 19.360, 0.000, 
12, 1, 0, 7.864, 20.379, 1.902, 30.354, 1.718, 26.134, 24.160, 0.000, 23.680, 0.000, 0.121, 19.840, 0.000, 
12, 1, 0, 7.918, 20.364, 1.444, 29.963, 2.187, 26.510, 24.800, 0.000, 23.520, 0.000, 0.180, 18.880, 0.000, 
12, 1, 0, 8.365, 21.372, 1.668, 30.104, 2.118, 26.325, 24.160, 0.000, 23.680, 0.000, 0.128, 20.160, 0.000, 
12, 1, 0, 7.872, 20.793, 1.533, 30.497, 1.741, 26.208, 24.160, 0.000, 23.680, 0.000, 0.118, 18.720, 0.000, 
12, 1, 0, 7.873, 23.960, 1.385, 29.991, 1.866, 26.321, 24.160, 0.000, 23.840, 0.000, 0.135, 20.960, 0.000, 
12, 1, 0, 7.986, 21.183, 1.783, 30.599, 2.128, 26.284, 24.320, 0.000, 23.360, 0.000, 0.118, 19.200, 0.000, 
12, 1, 0, 7.770, 20.263, 1.889, 30.105, 1.992, 26.401, 24.320, 0.000, 23.680, 0.000, 0.128, 20.960, 0.000, 
12, 1, 0, 7.864, 19.964, 1.706, 29.810, 1.852, 26.062, 24.320, 0.000, 24.159, 0.000, 0.122, 19.520, 0.000, 
13, 1, 0, 8.158, 21.479, 1.357, 31.220, 1.808, 27.271, 25.600, 0.000, 24.800, 0.000, 0.123, 19.040, 0.000, 
13, 1, 0, 8.500, 21.508, 1.588, 31.776, 1.875, 27.483, 25.439, 0.000, 24.800, 0.000, 0.132, 18.560, 0.000, 
13, 1, 0, 8.319, 22.229, 1.538, 31.600, 1.626, 27.343, 25.600, 0.000, 24.960, 0.000, 0.106, 19.200, 0.000, 
13, 1, 0, 8.255, 20.996, 1.816, 32.025, 2.166, 27.714, 25.440, 0.000, 24.800, 0.000, 0.124, 18.720, 0.000, 
13, 1, 0, 8.269, 21.457, 1.668, 31.574, 2.056, 27.857, 25.280, 0.000, 24.800, 0.000, 0.142, 19.200, 0.000, 
13, 1, 0, 8.459, 21.031, 1.361, 31.307, 1.875, 27.350, 25.920, 0.000, 25.280, 0.000, 0.122, 18.720, 0.000, 
