length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
7, 4, 0, 22.035, 3391.864, 10.312, 52.423, 5.506, 31.657, 36.640, 0.000, 30.080, 0.000, 0.607, 8.000, 0.000, 
7, 4, 0, 22.261, 3377.698, 10.975, 53.423, 5.033, 30.915, 28.960, 0.000, 29.760, 0.000, 0.570, 8.800, 0.000, 
7, 4, 0, 22.155, 3368.762, 11.171, 33.856, 5.596, 31.634, 29.600, 0.000, 28.800, 0.000, 0.683, 8.640, 0.000, 
7, 4, 0, 21.935, 3374.587, 12.053, 35.979, 4.846, 30.324, 29.600, 0.000, 30.240, 0.000, 0.669, 8.160, 0.000, 
7, 4, 0, 21.816, 3379.378, 11.644, 53.531, 7.536, 34.841, 34.880, 0.000, 30.240, 0.000, 0.692, 8.960, 0.000, 
7, 4, 0, 23.269, 3380.476, 11.601, 52.204, 5.395, 31.285, 52.640, 0.000, 29.600, 0.000, 0.709, 8.960, 0.000, 
7, 4, 0, 21.964, 3432.940, 11.516, 35.588, 5.358, 33.341, 28.799, 0.000, 28.480, 0.000, 0.654, 8.480, 0.000, 
7, 4, 0, 22.403, 3372.457, 10.598, 35.054, 5.118, 30.887, 30.240, 0.000, 30.560, 0.000, 0.635, 8.960, 0.000, 
7, 4, 0, 25.140, 3398.171, 12.540, 35.517, 5.142, 30.925, 37.760, 0.000, 29.280, 0.000, 0.641, 9.120, 0.000, 
8, 4, 0, 24.548, 3365.941, 10.905, 55.025, 4.923, 32.516, 41.758, 0.000, 30.240, 0.000, 0.628, 8.800, 0.000, 
8, 4, 0, 25.048, 3372.223, 11.005, 36.430, 5.006, 33.270, 30.720, 0.000, 31.680, 0.000, 0.659, 8.000, 0.000, 
8, 4, 0, 24.535, 3377.313, 11.171, 36.144, 6.462, 33.862, 32.159, 0.000, 31.520, 0.000, 0.611, 8.800, 0.000, 
8, 4, 0, 35.860, 3418.610, 13.569, 37.938, 6.109, 34.206, 30.880, 0.000, 30.880, 0.000, 0.720, 8.640, 0.000, 
8, 4, 0, 24.362, 3418.189, 12.127, 55.262, 5.282, 33.191, 38.720, 0.000, 32.320, 0.000, 0.720, 8.160, 0.000, 
8, 4, 0, 25.104, 3392.084, 12.137, 54.568, 4.971, 32.923, 36.800, 0.000, 31.200, 0.000, 0.709, 14.560, 0.000, 
8, 4, 0, 24.526, 3364.065, 11.425, 35.599, 5.436, 33.115, 31.039, 0.000, 32.640, 0.000, 0.700, 8.960, 0.000, 
8, 4, 0, 24.273, 3380.768, 11.752, 37.582, 5.255, 32.423, 31.840, 0.000, 31.040, 0.000, 0.717, 8.480, 0.000, 
8, 4, 0, 24.641, 3369.125, 11.369, 35.730, 4.965, 31.953, 32.000, 0.000, 31.360, 0.000, 0.660, 8.320, 0.000, 
8, 4, 0, 24.888, 3513.954, 14.935, 39.756, 7.056, 33.958, 31.680, 0.000, 31.200, 0.000, 0.598, 8.800, 0.000, 
9, 4, 0, 30.515, 3373.863, 11.166, 37.936, 6.128, 35.653, 39.680, 0.000, 31.040, 0.000, 0.649, 8.800, 0.000, 
9, 4, 0, 27.445, 3398.199, 12.762, 58.878, 5.867, 34.511, 38.400, 0.000, 32.640, 0.000, 0.694, 8.960, 0.000, 
9, 4, 0, 27.106, 3394.007, 12.142, 57.395, 7.247, 35.880, 40.480, 0.000, 34.400, 0.000, 0.526, 13.920, 0.000, 
9, 4, 0, 26.838, 3400.276, 10.461, 58.206, 5.995, 34.668, 32.638, 0.000, 31.840, 0.000, 0.581, 8.800, 0.000, 
9, 4, 0, 26.067, 3407.674, 11.891, 37.517, 5.024, 34.130, 34.080, 0.000, 33.600, 0.000, 0.678, 9.440, 0.000, 
9, 4, 0, 26.985, 3377.466, 10.325, 37.099, 4.945, 35.248, 32.160, 0.000, 31.200, 0.000, 0.636, 8.960, 0.000, 
9, 4, 0, 27.258, 3394.434, 12.253, 37.293, 5.157, 33.354, 32.640, 0.000, 32.480, 0.000, 0.629, 8.640, 0.000, 
9, 4, 0, 26.842, 3377.135, 10.666, 38.456, 5.037, 33.852, 31.840, 0.000, 32.800, 0.000, 0.532, 8.160, 0.000, 
9, 4, 0, 26.386, 3381.423, 10.717, 56.425, 5.193, 35.521, 36.320, 0.000, 33.760, 0.000, 0.634, 8.640, 0.000, 
9, 4, 0, 26.981, 3384.945, 11.290, 56.512, 5.152, 34.158, 38.240, 0.000, 31.360, 0.000, 0.666, 8.320, 0.000, 
10, 4, 0, 28.804, 3412.929, 10.572, 59.545, 7.675, 37.955, 41.920, 0.000, 34.400, 0.000, 0.650, 9.120, 0.000, 
10, 4, 0, 28.286, 3600.169, 14.304, 62.493, 4.530, 35.449, 39.520, 0.000, 35.360, 0.000, 0.556, 8.800, 0.000, 
10, 4, 0, 29.784, 3397.887, 11.059, 59.904, 5.025, 35.674, 41.600, 0.000, 34.879, 0.000, 0.638, 8.320, 0.000, 
10, 4, 0, 28.241, 3395.494, 10.305, 60.216, 7.138, 37.513, 42.560, 0.000, 35.200, 0.000, 0.655, 8.800, 0.000, 
10, 4, 0, 28.851, 3401.917, 10.264, 59.405, 5.089, 35.607, 34.720, 0.000, 35.200, 0.000, 0.541, 8.640, 0.000, 
10, 4, 0, 27.949, 3444.121, 11.153, 39.462, 5.011, 35.538, 34.080, 0.000, 32.959, 0.000, 0.656, 8.000, 0.000, 
10, 4, 0, 28.410, 3446.860, 10.866, 40.046, 4.896, 34.944, 33.598, 0.000, 32.800, 0.000, 0.664, 9.280, 0.000, 
10, 4, 0, 28.674, 3431.856, 10.747, 38.680, 5.250, 35.786, 33.280, 0.000, 33.600, 0.000, 0.662, 8.480, 0.000, 
10, 4, 0, 28.641, 3387.006, 10.027, 38.379, 5.095, 36.335, 34.720, 0.000, 33.440, 0.000, 0.637, 8.640, 0.000, 
10, 4, 0, 28.455, 3387.821, 10.233, 58.544, 5.144, 35.877, 37.920, 0.000, 34.240, 0.000, 0.735, 8.160, 0.000, 
11, 4, 0, 31.744, 3410.503, 11.669, 62.232, 5.756, 37.313, 43.520, 0.000, 36.799, 0.000, 0.699, 8.960, 0.000, 
11, 4, 0, 30.478, 3407.740, 11.619, 62.689, 5.353, 38.772, 41.280, 0.000, 35.679, 0.000, 0.709, 8.800, 0.000, 
11, 4, 0, 30.815, 3419.766, 11.582, 61.349, 5.289, 37.167, 42.880, 0.000, 36.640, 0.000, 0.584, 8.480, 0.000, 
11, 4, 0, 30.238, 3518.562, 13.863, 62.505, 5.376, 38.861, 40.800, 0.000, 35.680, 0.000, 0.652, 8.960, 0.000, 
11, 4, 0, 31.401, 3440.138, 10.915, 64.223, 5.514, 38.055, 40.960, 0.000, 36.159, 0.000, 0.671, 8.640, 0.000, 
11, 4, 0, 31.119, 3414.168, 11.070, 61.737, 4.763, 38.514, 43.680, 0.000, 36.800, 0.000, 0.618, 8.960, 0.000, 
11, 4, 0, 31.002, 3396.827, 11.161, 61.162, 4.780, 36.657, 59.360, 0.000, 35.840, 0.000, 0.634, 8.160, 0.000, 
11, 4, 0, 31.725, 3404.645, 11.638, 61.174, 5.330, 39.236, 56.160, 0.000, 34.080, 0.000, 0.784, 13.280, 0.000, 
11, 4, 0, 31.332, 3402.977, 11.469, 68.916, 5.262, 38.189, 62.880, 0.000, 35.680, 0.000, 0.638, 8.960, 0.000, 
11, 4, 0, 30.841, 3398.763, 12.642, 71.181, 5.015, 45.446, 36.318, 0.000, 34.560, 0.000, 0.612, 8.960, 0.000, 
12, 4, 0, 32.995, 3499.880, 14.793, 74.021, 5.272, 38.292, 66.080, 0.000, 37.600, 0.000, 0.671, 8.640, 0.000, 
12, 4, 0, 33.317, 3401.793, 10.039, 63.596, 5.014, 38.241, 36.640, 0.000, 36.160, 0.000, 0.659, 9.280, 0.000, 
12, 4, 0, 33.082, 3422.487, 11.882, 72.472, 7.552, 46.576, 36.960, 0.000, 37.279, 0.000, 0.639, 8.640, 0.000, 
12, 4, 0, 33.340, 3390.341, 11.318, 86.704, 5.156, 39.056, 36.960, 0.000, 39.040, 0.000, 0.646, 8.320, 0.000, 
12, 4, 0, 33.263, 3418.144, 11.905, 43.560, 5.412, 39.789, 38.080, 0.000, 37.440, 0.000, 0.637, 8.320, 0.000, 
12, 4, 0, 32.611, 3421.951, 10.564, 42.540, 5.310, 38.819, 38.880, 0.000, 36.160, 0.000, 0.773, 8.480, 0.000, 
