length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, upload_device_time, blockingKernelTimeoutDetected, 
6, 1, 0, 5.120, 8.420, 4.039, 13.153, 2.162, 9.667, 8.032, 0.000, 6.784, 0.000, 3.594, 6.528, 0.000, 
6, 1, 0, 5.093, 29.000, 4.129, 13.652, 2.188, 9.720, 8.256, 0.000, 6.848, 0.000, 3.709, 5.952, 0.000, 
6, 1, 0, 5.236, 8.299, 3.846, 13.057, 2.180, 9.743, 8.032, 0.000, 6.816, 0.000, 3.527, 5.984, 0.000, 
6, 1, 0, 5.185, 8.447, 4.175, 13.309, 2.250, 9.736, 7.968, 0.000, 6.752, 0.000, 3.562, 6.336, 0.000, 
6, 1, 0, 5.043, 8.159, 3.957, 13.109, 2.222, 9.643, 8.032, 0.000, 6.848, 0.000, 3.699, 6.336, 0.000, 
6, 1, 0, 5.127, 8.311, 4.112, 13.380, 2.240, 9.704, 8.320, 0.000, 7.136, 0.000, 3.567, 6.304, 0.000, 
7, 1, 0, 5.599, 9.369, 4.283, 14.443, 2.948, 11.182, 8.992, 0.000, 7.680, 0.000, 4.375, 6.144, 0.000, 
7, 1, 0, 5.657, 9.266, 4.162, 14.353, 2.678, 10.895, 8.992, 0.000, 7.680, 0.000, 3.793, 6.688, 0.000, 
7, 1, 0, 5.638, 9.153, 4.507, 14.684, 2.780, 11.192, 8.992, 0.000, 7.520, 0.000, 3.912, 6.464, 0.000, 
7, 1, 0, 5.647, 13.485, 4.283, 14.412, 2.499, 10.730, 8.960, 0.000, 7.680, 0.000, 3.839, 6.240, 0.000, 
7, 1, 0, 5.683, 9.378, 4.182, 14.685, 2.714, 11.160, 8.928, 0.000, 7.680, 0.000, 4.086, 5.824, 0.000, 
7, 1, 0, 5.642, 9.107, 4.403, 14.522, 2.502, 10.831, 9.024, 0.000, 7.520, 0.000, 3.973, 6.144, 0.000, 
7, 1, 0, 5.568, 8.882, 4.309, 14.652, 2.978, 11.424, 8.992, 0.000, 7.744, 0.000, 3.739, 5.856, 0.000, 
7, 1, 0, 5.694, 8.909, 4.678, 14.872, 2.467, 10.736, 8.992, 0.000, 7.680, 0.000, 4.141, 6.848, 0.000, 
