length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, upload_device_time, blockingKernelTimeoutDetected, 
10, 4, 0, 27.625, 36.914, 19.692, 36.130, 5.077, 23.428, 23.200, 0.000, 17.248, 0.000, 14.987, 1.536, 0.000, 
10, 4, 0, 28.061, 36.844, 15.312, 32.828, 5.283, 22.645, 23.680, 0.000, 17.728, 0.000, 14.927, 1.536, 0.000, 
11, 4, 0, 31.746, 179.191, 17.732, 35.996, 5.194, 25.005, 26.048, 0.000, 19.104, 0.000, 16.089, 1.792, 0.000, 
11, 4, 0, 31.990, 43.808, 17.241, 35.917, 5.184, 24.428, 26.176, 0.000, 19.360, 0.000, 17.375, 1.792, 0.000, 
11, 4, 0, 30.241, 41.547, 52.936, 71.612, 5.769, 24.381, 25.888, 0.000, 18.560, 0.000, 16.169, 1.792, 0.000, 
11, 4, 0, 32.242, 63.692, 17.118, 35.942, 5.809, 24.271, 27.552, 0.000, 18.912, 0.000, 15.907, 1.792, 0.000, 
11, 4, 0, 32.228, 42.648, 18.263, 36.268, 5.450, 25.764, 31.296, 0.000, 18.624, 0.000, 15.896, 1.792, 0.000, 
11, 4, 0, 29.010, 41.376, 16.096, 33.975, 4.887, 24.746, 25.952, 0.000, 18.848, 0.000, 14.806, 1.920, 0.000, 
11, 4, 0, 29.886, 40.533, 16.162, 35.780, 4.775, 23.783, 25.536, 0.000, 18.432, 0.000, 15.894, 1.792, 0.000, 
11, 4, 0, 28.757, 40.753, 17.120, 35.914, 4.974, 25.046, 26.336, 0.000, 19.200, 0.000, 15.086, 1.824, 0.000, 
11, 4, 0, 30.167, 40.696, 16.984, 35.560, 4.841, 24.994, 26.112, 0.000, 19.680, 0.000, 15.516, 1.792, 0.000, 
11, 4, 0, 29.108, 40.552, 16.550, 35.159, 5.179, 23.932, 26.048, 0.000, 18.176, 0.000, 20.241, 1.792, 0.000, 
12, 4, 0, 32.274, 60.094, 18.552, 37.834, 5.366, 26.088, 28.480, 1.000, 20.224, 0.000, 16.833, 1.792, 0.000, 
12, 4, 0, 34.602, 46.986, 18.242, 38.037, 5.144, 25.799, 27.200, 0.000, 19.968, 0.000, 18.685, 1.792, 0.000, 
12, 4, 0, 45.193, 44.278, 17.284, 37.956, 5.390, 26.175, 28.320, 0.000, 20.864, 0.000, 17.591, 1.760, 0.000, 
12, 4, 0, 32.555, 42.150, 18.386, 38.967, 5.373, 25.483, 29.472, 0.000, 20.704, 0.000, 16.819, 1.824, 0.000, 
12, 4, 0, 32.331, 42.521, 18.658, 38.720, 4.768, 25.810, 27.488, 0.000, 20.256, 0.000, 16.409, 1.792, 0.000, 
12, 4, 0, 32.341, 42.454, 18.186, 38.109, 5.037, 25.730, 28.928, 0.000, 19.968, 0.000, 17.129, 1.792, 0.000, 
12, 4, 0, 32.324, 61.829, 18.737, 38.861, 5.481, 26.820, 27.392, 0.000, 20.704, 0.000, 16.544, 1.792, 0.000, 
12, 4, 0, 32.557, 42.556, 18.432, 38.662, 4.887, 26.194, 29.632, 0.000, 20.224, 0.000, 18.020, 2.400, 0.000, 
12, 4, 0, 34.298, 44.888, 18.437, 38.515, 5.109, 25.513, 27.488, 0.000, 20.800, 0.000, 17.256, 1.792, 0.000, 
12, 4, 0, 34.294, 45.303, 18.967, 38.783, 4.921, 25.604, 28.768, 0.000, 20.672, 0.000, 17.138, 1.792, 0.000, 
13, 4, 0, 47.663, 47.349, 19.587, 41.001, 5.026, 27.475, 30.304, 0.000, 22.336, 0.000, 17.197, 1.824, 0.000, 
13, 4, 0, 35.340, 46.654, 18.997, 40.388, 4.861, 27.041, 28.992, 0.000, 21.344, 0.000, 17.773, 1.792, 0.000, 
13, 4, 0, 34.880, 46.082, 19.679, 41.042, 5.282, 27.094, 30.592, 0.000, 21.664, 0.000, 18.171, 1.792, 0.000, 
13, 4, 0, 34.739, 45.663, 19.819, 40.548, 5.116, 27.063, 29.664, 0.000, 21.664, 0.000, 17.111, 1.920, 0.000, 
13, 4, 0, 34.828, 46.340, 20.871, 41.809, 8.280, 29.554, 30.624, 0.000, 21.760, 0.000, 17.376, 1.792, 0.000, 
13, 4, 0, 35.107, 45.709, 19.640, 41.480, 5.281, 27.689, 31.104, 0.000, 21.536, 0.000, 17.239, 1.792, 0.000, 
13, 4, 0, 36.790, 48.144, 19.496, 40.585, 5.618, 28.340, 30.208, 0.000, 21.920, 0.000, 18.102, 1.792, 0.000, 
13, 4, 0, 35.147, 48.614, 19.503, 40.539, 5.561, 27.511, 30.880, 0.000, 21.536, 0.000, 17.728, 1.792, 0.000, 
13, 4, 0, 34.584, 45.869, 18.661, 39.727, 5.135, 27.350, 30.688, 0.000, 21.632, 0.000, 17.532, 1.792, 0.000, 
13, 4, 0, 34.647, 64.032, 19.549, 41.024, 5.343, 27.045, 31.136, 0.000, 21.664, 0.000, 18.128, 1.792, 0.000, 
14, 4, 0, 37.255, 67.656, 20.052, 42.795, 5.354, 28.681, 32.864, 0.000, 23.744, 0.000, 19.350, 1.824, 0.000, 
14, 4, 0, 37.278, 49.162, 20.189, 42.771, 5.732, 29.208, 36.576, 0.000, 22.944, 0.000, 17.970, 1.888, 0.000, 
14, 4, 0, 37.054, 48.356, 20.095, 42.931, 4.845, 28.743, 33.248, 0.000, 22.976, 0.000, 19.675, 1.824, 0.000, 
14, 4, 0, 39.614, 51.584, 20.663, 42.881, 5.404, 28.990, 32.576, 0.000, 23.392, 0.000, 18.215, 1.920, 0.000, 
14, 4, 0, 39.497, 51.661, 20.600, 43.162, 5.184, 28.597, 31.296, 0.000, 23.584, 0.000, 19.375, 1.920, 0.000, 
14, 4, 0, 37.105, 47.926, 20.377, 43.856, 5.443, 28.516, 31.264, 0.000, 22.976, 0.000, 18.148, 1.824, 0.000, 
14, 4, 0, 36.832, 48.068, 20.148, 42.452, 5.113, 28.584, 31.616, 0.000, 22.912, 0.000, 18.939, 1.792, 0.000, 
14, 4, 0, 36.926, 47.676, 19.549, 42.629, 5.191, 28.786, 32.096, 0.000, 23.040, 0.000, 18.364, 1.792, 0.000, 
14, 4, 0, 37.140, 49.107, 20.396, 42.930, 5.099, 27.864, 33.600, 0.000, 23.072, 0.000, 19.262, 1.792, 0.000, 
14, 4, 0, 37.127, 48.698, 20.307, 42.654, 4.763, 28.172, 31.456, 0.000, 23.520, 0.000, 22.602, 1.920, 0.000, 
15, 4, 0, 39.701, 52.277, 20.699, 43.951, 5.887, 29.962, 33.920, 0.000, 24.608, 0.000, 20.341, 1.792, 0.000, 
15, 4, 0, 39.460, 51.415, 21.558, 45.835, 4.836, 29.646, 33.056, 0.000, 25.024, 0.000, 20.392, 2.592, 0.000, 
15, 4, 0, 37.948, 70.997, 21.376, 55.175, 5.381, 30.584, 34.336, 0.000, 24.160, 0.000, 20.125, 1.792, 0.000, 
15, 4, 0, 40.079, 53.904, 22.935, 46.676, 5.138, 29.939, 33.312, 0.000, 24.256, 0.000, 18.932, 1.792, 0.000, 
15, 4, 0, 41.462, 54.255, 32.867, 55.330, 5.419, 30.917, 33.408, 0.000, 24.512, 0.000, 19.474, 1.792, 0.000, 
15, 4, 0, 39.408, 51.949, 19.849, 43.367, 5.161, 38.651, 35.936, 0.000, 24.256, 0.000, 20.524, 1.792, 0.000, 
15, 4, 0, 41.595, 54.294, 20.840, 44.477, 5.520, 30.783, 33.344, 0.000, 25.152, 0.000, 20.264, 1.760, 0.000, 
15, 4, 0, 42.657, 65.608, 20.176, 44.247, 5.387, 30.462, 33.824, 0.000, 24.192, 0.000, 22.152, 2.080, 0.000, 
15, 4, 0, 39.392, 51.706, 36.488, 59.869, 5.149, 30.085, 34.112, 0.000, 24.832, 0.000, 19.388, 1.792, 0.000, 
15, 4, 0, 41.588, 54.497, 19.710, 43.425, 5.058, 30.382, 32.960, 0.000, 24.544, 0.000, 20.391, 1.824, 0.000, 
16, 4, 0, 44.057, 58.486, 33.177, 56.914, 5.337, 31.811, 35.392, 0.000, 25.664, 0.000, 20.192, 1.792, 0.000, 
16, 4, 0, 41.999, 72.008, 21.051, 45.974, 5.485, 31.104, 35.744, 0.000, 25.568, 0.000, 21.360, 1.792, 0.000, 
16, 4, 0, 43.999, 56.968, 21.873, 46.469, 5.529, 31.498, 36.416, 0.000, 25.888, 0.000, 20.690, 1.824, 0.000, 
16, 4, 0, 59.584, 54.618, 20.882, 46.333, 4.799, 32.191, 35.712, 0.000, 26.144, 0.000, 21.016, 2.080, 0.000, 
16, 4, 0, 41.466, 53.960, 21.390, 46.914, 5.154, 31.315, 34.688, 0.000, 25.856, 0.000, 20.244, 1.920, 0.000, 
16, 4, 0, 41.435, 72.752, 21.148, 46.400, 5.439, 31.775, 35.072, 0.000, 26.048, 0.000, 20.175, 1.792, 0.000, 
16, 4, 0, 41.788, 53.807, 21.386, 46.384, 5.291, 32.381, 34.656, 0.000, 25.440, 0.000, 20.176, 1.792, 0.000, 
16, 4, 0, 41.695, 53.849, 20.417, 45.356, 5.301, 31.539, 36.384, 0.000, 25.472, 0.000, 20.414, 1.792, 0.000, 
16, 4, 0, 41.557, 53.519, 20.534, 45.246, 5.291, 31.662, 36.352, 0.000, 26.432, 0.000, 20.812, 2.080, 0.000, 
16, 4, 0, 41.569, 53.562, 20.903, 45.879, 5.501, 31.059, 36.960, 0.000, 25.920, 0.000, 20.791, 1.792, 0.000, 
17, 4, 0, 44.671, 276.556, 24.704, 51.225, 5.001, 32.883, 39.488, 0.000, 26.624, 0.000, 21.011, 1.792, 0.000, 
