length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
7, 4, 0, 12.564, 1671.413, 22.813, 71.674, 11.171, 52.599, 43.882, 0.000, 48.051, 0.000, 0.391, 3.727, 0.000, 
7, 4, 0, 11.291, 1410.974, 63.539, 83.447, 11.612, 41.989, 43.923, 0.000, 41.678, 0.000, 0.531, 3.647, 0.000, 
8, 4, 0, 14.257, 1738.810, 20.288, 74.159, 13.325, 50.165, 40.676, 0.000, 39.955, 0.000, 0.350, 3.486, 0.000, 
8, 4, 0, 14.808, 1577.336, 26.380, 77.225, 11.712, 53.039, 42.159, 0.000, 42.520, 0.000, 0.461, 3.246, 0.000, 
8, 4, 0, 18.525, 1583.438, 16.922, 61.135, 16.281, 55.514, 55.264, 0.000, 38.473, 0.000, 0.521, 3.928, 0.000, 
8, 4, 0, 13.064, 1557.239, 21.560, 56.416, 10.971, 46.087, 31.619, 0.000, 22.963, 0.000, 0.461, 3.006, 0.000, 
8, 4, 0, 19.616, 1412.526, 16.310, 62.107, 12.042, 45.726, 44.123, 0.000, 26.290, 0.000, 0.481, 2.925, 0.000, 
8, 4, 0, 12.704, 1413.648, 13.406, 65.985, 10.630, 56.826, 33.903, 0.000, 35.828, 0.000, 0.501, 3.928, 0.000, 
8, 4, 0, 12.774, 1449.546, 15.339, 60.363, 10.390, 45.556, 44.043, 0.000, 42.680, 0.000, 0.481, 3.928, 0.000, 
8, 4, 0, 13.104, 1304.363, 14.508, 46.508, 11.081, 47.960, 41.959, 0.000, 54.582, 0.000, 0.481, 3.807, 0.000, 
8, 4, 0, 12.794, 1539.826, 28.273, 65.293, 12.353, 98.485, 39.675, 0.000, 38.592, 0.000, 0.451, 3.286, 0.000, 
8, 4, 0, 13.325, 1455.657, 13.877, 77.406, 9.979, 187.773, 42.119, 0.000, 48.291, 0.000, 0.471, 3.487, 0.000, 
9, 4, 0, 14.357, 1433.526, 24.867, 82.184, 11.993, 47.169, 43.962, 0.000, 46.888, 0.000, 0.491, 4.048, 0.000, 
9, 4, 0, 15.329, 1530.909, 15.159, 87.935, 11.582, 71.906, 41.438, 0.000, 53.380, 0.000, 0.611, 2.725, 0.000, 
9, 4, 0, 13.616, 1574.200, 14.507, 63.419, 12.163, 55.965, 52.459, 0.000, 41.999, 0.000, 0.471, 4.288, 0.000, 
9, 4, 0, 13.235, 1528.915, 16.632, 64.211, 11.161, 57.729, 44.003, 0.000, 50.775, 0.000, 0.461, 3.888, 0.000, 
9, 4, 0, 14.217, 1553.591, 14.878, 66.185, 11.151, 62.898, 65.203, 0.000, 71.294, 0.000, 0.701, 3.487, 0.000, 
9, 4, 0, 13.476, 1677.404, 19.286, 82.806, 11.081, 56.376, 41.599, 0.000, 34.145, 0.000, 0.431, 2.845, 0.000, 
9, 4, 0, 14.989, 1426.773, 15.158, 71.584, 12.744, 56.276, 51.897, 0.000, 42.119, 0.000, 0.471, 3.446, 0.000, 
9, 4, 0, 14.648, 1583.417, 14.888, 65.574, 11.191, 58.219, 66.565, 0.000, 73.178, 0.000, 0.490, 11.301, 0.000, 
9, 4, 0, 18.785, 1629.164, 21.801, 67.206, 11.803, 51.437, 43.481, 0.000, 46.247, 0.000, 0.461, 3.006, 0.000, 
9, 4, 0, 14.607, 1434.687, 15.940, 60.534, 11.742, 50.686, 44.283, 0.000, 47.609, 0.000, 0.581, 2.845, 0.000, 
10, 4, 0, 15.610, 1455.647, 14.948, 71.074, 12.253, 61.035, 46.567, 0.000, 46.968, 0.000, 0.501, 2.685, 0.000, 
10, 4, 0, 24.376, 1654.722, 18.875, 79.069, 12.323, 59.391, 48.812, 0.000, 29.255, 0.000, 0.581, 5.610, 0.000, 
10, 4, 0, 15.529, 1387.149, 17.172, 90.149, 12.003, 66.345, 32.821, 0.000, 43.842, 0.000, 0.521, 3.126, 0.000, 
10, 4, 0, 15.388, 1474.833, 21.931, 78.558, 12.694, 67.296, 52.418, 0.000, 51.417, 0.000, 0.862, 5.129, 0.000, 
10, 4, 0, 16.892, 1755.401, 29.555, 109.947, 12.513, 73.317, 46.287, 0.000, 49.453, 0.000, 0.661, 3.046, 0.000, 
10, 4, 0, 14.798, 1401.836, 25.148, 66.185, 13.435, 64.571, 54.583, 0.000, 47.088, 0.000, 0.591, 3.847, 0.000, 
10, 4, 0, 14.538, 1415.411, 15.580, 62.969, 13.405, 57.217, 62.638, 0.000, 70.733, 0.000, 1.493, 3.928, 0.000, 
10, 4, 0, 14.227, 1565.273, 24.576, 75.492, 11.612, 57.979, 56.346, 0.000, 52.780, 0.000, 0.501, 5.210, 0.000, 
10, 4, 0, 13.595, 1559.222, 15.740, 83.017, 12.353, 76.243, 49.252, 0.000, 53.661, 0.000, 0.451, 2.885, 0.000, 
10, 4, 0, 16.581, 1583.047, 17.072, 76.394, 13.074, 64.711, 47.289, 0.000, 50.615, 0.000, 0.491, 3.046, 0.000, 
11, 4, 0, 15.899, 1468.602, 16.050, 60.754, 12.644, 57.248, 43.201, 0.000, 48.451, 0.000, 0.792, 10.339, 0.000, 
11, 4, 0, 18.294, 1435.499, 26.340, 73.909, 11.903, 66.105, 33.704, 0.000, 46.768, 0.000, 0.450, 3.045, 0.000, 
11, 4, 0, 18.094, 1500.933, 29.044, 85.300, 11.942, 61.335, 57.468, 0.000, 49.694, 0.000, 0.441, 3.928, 0.000, 
11, 4, 0, 15.298, 1465.836, 16.160, 62.077, 12.674, 59.021, 56.145, 0.000, 50.455, 0.000, 0.420, 3.486, 0.000, 
11, 4, 0, 15.970, 1418.968, 20.940, 95.239, 10.861, 85.241, 68.689, 0.000, 51.177, 0.000, 0.401, 4.929, 0.000, 
11, 4, 0, 16.271, 1459.885, 15.940, 62.979, 11.461, 62.207, 57.027, 0.000, 36.228, 0.000, 0.491, 3.727, 0.000, 
11, 4, 0, 18.184, 1570.022, 32.592, 89.439, 12.433, 54.121, 71.374, 0.000, 69.050, 0.000, 0.451, 5.090, 0.000, 
11, 4, 0, 18.394, 1490.233, 16.341, 84.729, 12.394, 61.416, 54.502, 0.000, 49.293, 0.000, 0.601, 3.126, 0.000, 
11, 4, 0, 21.620, 1819.832, 16.411, 71.885, 12.564, 71.304, 58.510, 0.000, 58.350, 0.000, 0.591, 2.725, 0.000, 
11, 4, 0, 16.602, 1636.658, 19.877, 83.867, 12.103, 69.541, 47.930, 0.000, 53.060, 0.000, 0.220, 3.567, 0.000, 
12, 4, 0, 18.996, 1721.216, 13.545, 76.083, 11.742, 68.789, 43.201, 0.000, 43.923, 0.000, 0.380, 4.408, 0.000, 
12, 4, 0, 18.585, 1699.846, 15.179, 91.042, 11.992, 69.651, 61.035, 0.000, 51.817, 0.000, 0.732, 4.930, 0.000, 
12, 4, 0, 18.014, 1950.718, 19.567, 115.958, 11.191, 86.833, 42.280, 0.000, 42.239, 0.000, 0.731, 3.968, 0.000, 
12, 4, 0, 19.136, 1956.720, 14.527, 117.761, 11.171, 77.426, 51.777, 0.000, 52.098, 0.000, 0.431, 2.926, 0.000, 
12, 4, 0, 18.675, 1706.920, 26.560, 81.824, 14.628, 66.826, 95.700, 0.000, 93.295, 0.000, 0.481, 3.006, 0.000, 
12, 4, 0, 34.886, 1476.456, 17.593, 84.148, 13.686, 61.917, 67.446, 0.000, 54.422, 0.000, 0.621, 4.728, 0.000, 
12, 4, 0, 17.943, 1485.273, 15.369, 109.837, 12.834, 73.969, 57.027, 0.000, 55.344, 0.000, 0.510, 3.246, 0.000, 
12, 4, 0, 21.611, 1654.100, 13.987, 71.224, 12.534, 69.531, 28.774, 0.000, 48.371, 0.000, 0.471, 4.008, 0.000, 
12, 4, 0, 18.344, 1954.666, 14.297, 107.993, 12.163, 83.828, 67.767, 0.000, 54.863, 0.000, 0.481, 4.047, 0.000, 
12, 4, 0, 15.550, 1408.779, 15.499, 72.877, 11.522, 58.651, 61.877, 0.000, 53.541, 0.000, 0.742, 7.534, 0.000, 
13, 4, 0, 17.984, 1553.060, 15.199, 98.706, 11.201, 71.785, 68.289, 0.000, 63.078, 0.000, 0.631, 3.126, 0.000, 
13, 4, 0, 18.475, 1882.350, 28.483, 109.375, 11.682, 84.720, 63.078, 0.000, 55.344, 0.000, 0.591, 4.648, 0.000, 
13, 4, 0, 23.775, 1685.539, 21.571, 99.257, 13.576, 81.714, 42.480, 0.000, 52.259, 0.000, 0.500, 3.526, 0.000, 
13, 4, 0, 18.635, 1516.903, 19.847, 79.089, 12.052, 65.363, 70.453, 0.000, 75.863, 0.000, 0.511, 3.887, 0.000, 
13, 4, 0, 17.353, 1702.631, 22.984, 92.995, 13.776, 65.433, 65.804, 0.000, 61.396, 0.000, 0.601, 3.687, 0.000, 
13, 4, 0, 18.255, 1531.690, 20.529, 89.038, 12.764, 66.224, 69.210, 0.000, 59.151, 0.000, 0.571, 5.370, 0.000, 
13, 4, 0, 17.092, 1813.771, 23.033, 94.057, 12.563, 79.640, 58.951, 0.000, 66.404, 0.000, 0.471, 3.887, 0.000, 
13, 4, 0, 16.842, 1627.881, 25.278, 114.075, 13.846, 77.586, 74.179, 0.000, 59.191, 0.000, 0.481, 8.656, 0.000, 
13, 4, 0, 21.931, 1689.407, 26.369, 96.241, 12.423, 69.851, 66.966, 0.000, 58.590, 0.000, 0.341, 3.687, 0.000, 
13, 4, 0, 21.501, 1748.888, 16.270, 130.435, 12.383, 68.579, 61.716, 0.000, 64.642, 0.000, 0.501, 3.407, 0.000, 
14, 4, 0, 20.108, 1813.911, 15.309, 103.715, 12.113, 75.442, 122.470, 0.000, 119.144, 0.000, 0.471, 3.888, 0.000, 
14, 4, 0, 19.917, 1627.791, 14.888, 93.316, 11.762, 77.626, 65.443, 0.000, 67.006, 0.000, 0.481, 3.166, 0.000, 
14, 4, 0, 21.872, 1700.808, 16.782, 72.907, 13.596, 78.317, 65.283, 0.000, 64.561, 0.000, 0.451, 4.569, 0.000, 
14, 4, 0, 19.136, 1634.534, 18.905, 96.261, 19.657, 74.189, 66.525, 0.000, 62.918, 0.000, 0.361, 3.647, 0.000, 
14, 4, 0, 21.911, 1660.833, 20.970, 93.025, 11.802, 69.180, 56.185, 0.000, 47.569, 0.000, 0.481, 3.888, 0.000, 
14, 4, 0, 18.415, 1558.400, 34.175, 122.952, 12.804, 73.027, 62.798, 0.000, 69.490, 0.000, 1.833, 3.927, 0.000, 
14, 4, 0, 20.949, 1661.043, 16.221, 79.951, 12.443, 70.061, 62.558, 0.000, 59.272, 0.000, 0.491, 2.966, 0.000, 
14, 4, 0, 18.736, 1573.088, 17.142, 89.508, 11.502, 75.212, 72.296, 0.000, 62.077, 0.000, 0.621, 3.006, 0.000, 
14, 4, 0, 18.635, 1658.058, 17.663, 84.669, 12.193, 71.094, 61.435, 0.000, 65.804, 0.000, 0.801, 4.528, 0.000, 
14, 4, 0, 19.477, 1610.448, 21.741, 90.080, 10.800, 74.269, 71.455, 0.000, 69.130, 0.000, 0.281, 6.131, 0.000, 
15, 4, 0, 26.369, 1638.762, 15.699, 80.451, 13.135, 114.495, 67.086, 0.000, 64.882, 0.000, 0.601, 2.725, 0.000, 
15, 4, 0, 21.911, 1617.622, 14.437, 94.859, 12.503, 74.770, 49.252, 0.000, 70.973, 0.000, 0.561, 3.847, 0.000, 
15, 4, 0, 25.378, 1611.330, 15.660, 122.200, 12.123, 93.897, 82.315, 0.000, 70.533, 0.000, 0.431, 3.888, 0.000, 
15, 4, 0, 19.918, 1692.853, 15.830, 121.298, 15.690, 97.463, 63.720, 0.000, 70.613, 0.000, 0.451, 3.888, 0.000, 
15, 4, 0, 25.929, 1667.776, 25.939, 112.321, 12.814, 89.307, 72.817, 0.000, 70.132, 0.000, 0.631, 3.567, 0.000, 
15, 4, 0, 24.626, 1712.089, 15.510, 92.975, 10.530, 81.454, 114.055, 0.000, 93.055, 0.000, 0.491, 3.046, 0.000, 
15, 4, 0, 20.278, 1748.148, 14.998, 99.838, 14.667, 88.115, 65.965, 0.000, 52.258, 0.000, 0.681, 3.887, 0.000, 
15, 4, 0, 27.682, 1647.979, 14.137, 125.957, 11.812, 105.017, 62.397, 0.000, 61.275, 0.000, 1.062, 5.130, 0.000, 
15, 4, 0, 20.228, 1562.759, 16.771, 141.365, 12.213, 85.110, 140.865, 0.000, 144.913, 0.000, 0.561, 3.567, 0.000, 
15, 4, 0, 39.555, 1624.555, 18.314, 79.018, 13.045, 79.540, 57.068, 0.000, 51.537, 0.000, 0.451, 3.126, 0.000, 
16, 4, 0, 35.637, 1654.902, 16.071, 92.605, 13.515, 85.200, 109.647, 0.000, 108.524, 0.000, 0.491, 3.166, 0.000, 
16, 4, 0, 32.010, 1673.577, 27.392, 122.280, 14.908, 75.983, 85.801, 0.000, 82.154, 0.000, 0.491, 3.647, 0.000, 
16, 4, 0, 26.038, 1672.194, 24.476, 127.530, 13.125, 86.172, 85.962, 0.000, 62.477, 0.000, 0.591, 3.326, 0.000, 
16, 4, 0, 24.096, 1671.263, 15.359, 86.873, 12.023, 73.128, 60.674, 0.000, 51.496, 0.000, 0.621, 3.526, 0.000, 
16, 4, 0, 25.308, 1657.396, 18.114, 135.484, 11.813, 108.925, 53.581, 0.000, 56.386, 0.000, 0.752, 3.406, 0.000, 
16, 4, 0, 24.446, 1474.052, 25.578, 118.022, 11.672, 84.850, 69.250, 0.000, 74.339, 0.000, 0.501, 3.807, 0.000, 
16, 4, 0, 23.495, 1810.674, 15.759, 127.880, 17.042, 103.765, 105.558, 0.000, 105.519, 0.000, 0.682, 3.888, 0.000, 
16, 4, 0, 27.161, 1487.698, 31.609, 122.811, 26.891, 78.227, 70.452, 0.000, 70.131, 0.000, 0.942, 3.967, 0.000, 
16, 4, 0, 21.891, 1717.841, 21.220, 163.577, 12.243, 111.630, 85.000, 0.000, 58.590, 0.000, 0.782, 3.166, 0.000, 
16, 4, 0, 30.578, 1571.725, 17.734, 91.663, 14.787, 89.999, 69.370, 0.000, 77.024, 0.000, 1.002, 3.767, 0.000, 
17, 4, 0, 44.493, 1454.275, 16.271, 109.436, 12.724, 89.739, 76.824, 0.000, 76.905, 0.000, 0.451, 4.208, 0.000, 
17, 4, 0, 24.025, 1626.719, 18.735, 140.815, 12.173, 106.189, 55.665, 0.000, 64.321, 0.000, 0.461, 3.046, 0.000, 
17, 4, 0, 30.828, 1707.401, 17.262, 120.727, 13.495, 82.355, 64.722, 0.000, 47.810, 0.000, 0.661, 3.086, 0.000, 
17, 4, 0, 28.493, 1695.769, 16.030, 159.449, 16.621, 113.192, 122.471, 0.000, 131.647, 0.000, 0.451, 3.967, 0.000, 
17, 4, 0, 25.458, 1639.272, 21.441, 102.743, 12.865, 90.240, 76.985, 0.000, 63.039, 0.000, 0.611, 3.046, 0.000, 
17, 4, 0, 30.969, 1706.088, 26.951, 119.705, 13.055, 94.738, 130.325, 0.000, 117.942, 0.000, 0.792, 2.725, 0.000, 
17, 4, 0, 24.456, 1692.372, 18.435, 81.373, 13.205, 83.367, 85.641, 0.000, 82.075, 0.000, 0.942, 3.206, 0.000, 
17, 4, 0, 26.079, 1502.295, 15.019, 128.121, 12.263, 88.326, 76.343, 0.000, 79.509, 0.000, 0.741, 2.845, 0.000, 
17, 4, 0, 24.075, 1630.476, 21.791, 129.093, 12.784, 78.177, 81.112, 0.000, 76.183, 0.000, 0.531, 3.888, 0.000, 
17, 4, 0, 28.684, 1861.130, 15.519, 132.659, 17.914, 106.851, 77.866, 0.000, 71.254, 0.000, 0.601, 2.805, 0.000, 
18, 4, 0, 27.111, 1513.456, 19.436, 87.154, 13.626, 73.709, 80.070, 0.000, 90.249, 0.000, 0.451, 3.527, 0.000, 
18, 4, 0, 23.825, 1769.938, 21.561, 194.837, 10.830, 149.401, 84.438, 0.000, 91.252, 0.000, 0.561, 3.165, 0.000, 
18, 4, 0, 35.317, 1730.774, 27.151, 108.054, 13.305, 91.632, 75.943, 0.000, 58.069, 0.000, 0.842, 2.885, 0.000, 
18, 4, 0, 36.289, 1523.385, 18.144, 89.268, 12.744, 88.356, 78.548, 0.000, 65.443, 0.000, 0.572, 3.767, 0.000, 
18, 4, 0, 32.451, 1752.025, 24.366, 136.416, 13.927, 93.927, 123.753, 0.000, 126.238, 0.000, 0.751, 3.887, 0.000, 
18, 4, 0, 26.640, 1697.141, 26.109, 122.521, 14.467, 92.554, 76.864, 0.000, 73.418, 0.000, 0.281, 4.568, 0.000, 
18, 4, 0, 26.249, 1646.246, 15.149, 103.054, 12.403, 89.528, 82.596, 0.000, 79.350, 0.000, 0.461, 2.725, 0.000, 
18, 4, 0, 31.460, 1762.694, 16.111, 117.060, 18.275, 98.215, 77.466, 0.000, 79.750, 0.000, 0.802, 3.326, 0.000, 
18, 4, 0, 26.901, 1474.593, 15.800, 125.356, 11.551, 170.781, 91.091, 0.000, 91.813, 0.000, 0.731, 3.927, 0.000, 
